AppID,Name,Number of languages,Languages
1469160,Wartune Reborn,1.0,['English']
1178150,MazM: Jekyll and Hyde,10.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Russian', 'Japanese', 'SimplifiedChinese', 'TraditionalChinese', 'Korean']"
320150,Deadlings: Rotten Edition,9.0,"['English', 'Polish', 'French', 'Italian', 'German', 'Spanish-Spain', 'Portuguese', 'Russian', 'Japanese']"
1026420,WARSAW,5.0,"['English', 'French', 'German', 'Polish', 'Russian']"
485000,Cthulhu Realms,1.0,['English']
1454010,Diary of Lucie,2.0,"['English', 'Korean']"
22670,Alien Breed 3: Descent,6.0,"['English', 'French', 'German', 'Italian', 'Japanese', 'Spanish-Spain']"
346560,Hero of the Kingdom II,15.0,"['English', 'French', 'German', 'Spanish-Spain', 'Russian', 'Turkish', 'Czech', 'Portuguese-Brazil', 'Hungarian', 'Polish', 'Italian', 'Dutch', 'Ukrainian', 'Danish', 'SimplifiedChinese']"
290870,Steam Squad,4.0,"['English', 'Russian', 'French', 'German']"
434030,Aerofly FS 2 Flight Simulator,3.0,"['English', 'German', 'French']"
2073470,Kanjozoku Game ãƒ¬ãƒ¼ã‚µãƒ¼,1.0,['English']
42500,DogFighter,1.0,['English']
262150,Vanguard Princess,1.0,['English']
1192900,IRON REBELLION,1.0,['English']
866150,Treasures of the Ancients: Egypt,1.0,['English']
231330,Deadfall Adventures,5.0,"['English', 'German', 'Polish', 'French', 'Russian']"
897820,Reigns: Game of Thrones,11.0,"['English', 'French', 'German', 'Spanish-Spain', 'Italian', 'Japanese', 'Korean', 'Portuguese-Brazil', 'Russian', 'SimplifiedChinese', 'TraditionalChinese']"
658970,CasinoRPG,1.0,['English']
552520,Far CryÂ® 5,15.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Arabic', 'Czech', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese-Brazil', 'Russian', 'SimplifiedChinese', 'TraditionalChinese']"
433450,INFERNO CLIMBER,4.0,"['English', 'Japanese', 'SimplifiedChinese', 'Korean']"
464230,Colours of Magic: Aqua Teeter,5.0,"['English', 'Russian', 'Portuguese', 'Portuguese-Brazil', 'Ukrainian']"
1293830,Forza Horizon 4,16.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Czech', 'Hungarian', 'Japanese', 'Korean', 'Polish', 'Portuguese-Brazil', 'Russian', 'SimplifiedChinese', 'Spanish-LatinAmerica', 'TraditionalChinese', 'Turkish']"
306350,Slipstream 5000,1.0,['English']
1557480,Project MIKHAIL: A Muv-Luv War Story,2.0,"['English', 'Japanese']"
12140,Max Payne,1.0,['English']
1163340,Carrier Battles 4 Guadalcanal - Pacific War Naval Warfare,6.0,"['English', 'French', 'Spanish-Spain', 'SimplifiedChinese', 'Japanese', 'Italian']"
541570,Sally Face - Episode One,6.0,"['English', 'Russian', 'Italian', 'German', 'TraditionalChinese', 'Portuguese-Brazil']"
1131550,I Walk Among Zombies Vol. 3,2.0,"['English', 'SimplifiedChinese']"
1729790,Escape From School,1.0,['English']
368080,Aurion: Legacy of the Kori-Odan,2.0,"['English', 'French']"
1066890,Automobilista 2,6.0,"['English', 'French', 'German', 'Spanish-Spain', 'Portuguese-Brazil', 'Spanish-LatinAmerica']"
457140,Oxygen Not Included,4.0,"['English', 'SimplifiedChinese', 'Korean', 'Russian']"
1514360,Laid-Back Camp - Virtual - Lake Motosu,6.0,"['English', 'French', 'SimplifiedChinese', 'TraditionalChinese', 'Japanese', 'Korean']"
863490,Bighead Runner,2.0,"['English', 'Portuguese-Brazil']"
396640,TowerClimb,1.0,['English']
726020,Mission Ammunition,1.0,['English']
