AppID,Name,Price,English,French,Italian,German,Spanish-Spain,Russian,Japanese,SimplifiedChinese,TraditionalChinese,Korean,Polish,Portuguese,Turkish,Czech,Portuguese-Brazil,Hungarian,Dutch,Ukrainian,Danish,Arabic,Spanish-LatinAmerica,Thai,Finnish,Norwegian,Romanian,Swedish,Greek,Vietnamese,Bulgarian,Slovakian,Portuguese-Portugal,Indonesian,Hindi,Catalan,None
1469160,Wartune Reborn,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178150,MazM: Jekyll and Hyde,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,,,,,,,,,,,,,,,,,,,,,,,,,
320150,Deadlings: Rotten Edition,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,,,,3.99,3.99,,,,,,,,,,,,,,,,,,,,,,,
1026420,WARSAW,23.99,23.99,23.99,,23.99,,23.99,,,,,23.99,,,,,,,,,,,,,,,,,,,,,,,,
485000,Cthulhu Realms,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454010,Diary of Lucie,12.99,12.99,,,,,,,,,12.99,,,,,,,,,,,,,,,,,,,,,,,,,
22670,Alien Breed 3: Descent,9.99,9.99,9.99,9.99,9.99,9.99,,9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346560,Hero of the Kingdom II,7.99,7.99,7.99,7.99,7.99,7.99,7.99,,7.99,,,7.99,,7.99,7.99,7.99,7.99,7.99,7.99,7.99,,,,,,,,,,,,,,,,
290870,Steam Squad,17.99,17.99,17.99,,17.99,,17.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434030,Aerofly FS 2 Flight Simulator,37.49,37.49,37.49,,37.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2073470,Kanjozoku Game ãƒ¬ãƒ¼ã‚µãƒ¼,5.99,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42500,DogFighter,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262150,Vanguard Princess,2.49,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192900,IRON REBELLION,11.99,11.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866150,Treasures of the Ancients: Egypt,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231330,Deadfall Adventures,19.99,19.99,19.99,,19.99,,19.99,,,,,19.99,,,,,,,,,,,,,,,,,,,,,,,,
897820,Reigns: Game of Thrones,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,,,,,3.99,,,,,,,,,,,,,,,,,,,,
658970,CasinoRPG,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552520,Far CryÂ® 5,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,,,59.99,59.99,,59.99,,,59.99,,,,,,,,,,,,,,,
433450,INFERNO CLIMBER,14.99,14.99,,,,,,14.99,14.99,,14.99,,,,,,,,,,,,,,,,,,,,,,,,,
